"","tffam","enzloc","adj.p"
"551","E2F-DP","MDH_peroxisome",1
"552","EIL","MDH_peroxisome",1
"553","G2-like","MDH_peroxisome",1
"554","GeBP","MDH_peroxisome",0.00594508782659134
"555","GRAS","MDH_peroxisome",1
"556","GRF","MDH_peroxisome",1
"557","Homeobox","MDH_peroxisome",1
"558","HSF","MDH_peroxisome",1
"559","LBD","MDH_peroxisome",0.216227439346274
"560","MADS","MDH_peroxisome",1
"561","MYB","MDH_peroxisome",1
"562","MYB-related","MDH_peroxisome",1
"563","NAC","MDH_peroxisome",1
"564","NLP","MDH_peroxisome",1
"565","PHD","MDH_peroxisome",1
"566","RAV","MDH_peroxisome",1
"567","REM","MDH_peroxisome",1
"568","SBP","MDH_peroxisome",0.868626581490204
"569","TCP","MDH_peroxisome",1
"570","Trihelix","MDH_peroxisome",0.187468879513786
"571","TUB","MDH_peroxisome",1
"572","VOZ","MDH_peroxisome",1
"573","Whirly","MDH_peroxisome",1
"574","WRKY","MDH_peroxisome",1.22269249235132e-06
"575","ZF-HD","MDH_peroxisome",0.0503134832581483
"576","ZIM","MDH_peroxisome",1
"577","ABI3VP1","MDH_plastid",1
"578","Alfin-like","MDH_plastid",1
"579","AP2-EREBP","MDH_plastid",0.0127346868005761
"580","ARF","MDH_plastid",1
"581","ARID","MDH_plastid",0.693850866923172
"582","ARR-B","MDH_plastid",1
"583","BBR/BPC","MDH_plastid",1
"584","bHLH","MDH_plastid",1
"585","bZIP","MDH_plastid",1
"586","BZR","MDH_plastid",1
"587","C2C2-CO-like","MDH_plastid",1
"588","C2C2-Dof","MDH_plastid",1
"589","C2C2-Gata","MDH_plastid",1
"590","C2C2-YABBY","MDH_plastid",1
"591","C2H2","MDH_plastid",1
"592","C3H","MDH_plastid",1
"593","CAMTA","MDH_plastid",1
"594","CCAAT-DR1","MDH_plastid",1
"595","CCAAT-HAP2","MDH_plastid",1
"596","CCAAT-HAP3","MDH_plastid",1
"597","CCAAT-HAP5","MDH_plastid",1
"598","CPP","MDH_plastid",1
"599","E2F-DP","MDH_plastid",1
"600","EIL","MDH_plastid",1
"601","G2-like","MDH_plastid",1
"602","GeBP","MDH_plastid",0.00229099426091383
"603","GRAS","MDH_plastid",1
"604","GRF","MDH_plastid",1
"605","Homeobox","MDH_plastid",1
"606","HSF","MDH_plastid",1
"607","LBD","MDH_plastid",1
"608","MADS","MDH_plastid",1
"609","MYB","MDH_plastid",1
"610","MYB-related","MDH_plastid",1
"611","NAC","MDH_plastid",1
"612","NLP","MDH_plastid",1
"613","PHD","MDH_plastid",1
"614","RAV","MDH_plastid",1
"615","REM","MDH_plastid",1
"616","SBP","MDH_plastid",1
"617","TCP","MDH_plastid",1
"618","Trihelix","MDH_plastid",0.000126652744247267
"619","TUB","MDH_plastid",1
"620","VOZ","MDH_plastid",1
"621","Whirly","MDH_plastid",1
"622","WRKY","MDH_plastid",1
"623","ZF-HD","MDH_plastid",1
"624","ZIM","MDH_plastid",1
"625","ABI3VP1","OGDH_mitochondrion",1
"626","Alfin-like","OGDH_mitochondrion",1
"627","AP2-EREBP","OGDH_mitochondrion",5.67012237471078e-10
"628","ARF","OGDH_mitochondrion",1
"629","ARID","OGDH_mitochondrion",1
"630","ARR-B","OGDH_mitochondrion",1
"631","BBR/BPC","OGDH_mitochondrion",0.270319531033443
"632","bHLH","OGDH_mitochondrion",1
"633","bZIP","OGDH_mitochondrion",1
"634","BZR","OGDH_mitochondrion",1
"635","C2C2-CO-like","OGDH_mitochondrion",1
"636","C2C2-Dof","OGDH_mitochondrion",1
"637","C2C2-Gata","OGDH_mitochondrion",1
"638","C2C2-YABBY","OGDH_mitochondrion",1
"639","C2H2","OGDH_mitochondrion",1
"640","C3H","OGDH_mitochondrion",1
"641","CAMTA","OGDH_mitochondrion",1
