"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"ICDH","plastid","ARR-B",0,"ICDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"MDH","plastid","ARR-B",0,"MDH_plastid",6,96,96,6,860,0,1,1
"OGDH","plastid","ARR-B",0,"OGDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"PDH","plastid","ARR-B",2,"PDH_plastid",6,330,328,4,628,0.606060606060606,0.66843203748122,1
"SCL","plastid","ARR-B",0,"SCL_plastid",6,NA,NA,6,NA,NA,NA,NA
"SDH","plastid","ARR-B",0,"SDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"ACO","cytosol","BBR/BPC",1,"ACO_cytosol",6,65,64,5,892,1.53846153846154,0.343535004452437,1
"CSY","cytosol","BBR/BPC",0,"CSY_cytosol",6,NA,NA,6,NA,NA,NA,NA
"FUM","cytosol","BBR/BPC",0,"FUM_cytosol",6,39,39,6,917,0,1,1
"ICDH","cytosol","BBR/BPC",1,"ICDH_cytosol",6,173,172,5,784,0.578034682080925,0.696666433276633,1
"MDH","cytosol","BBR/BPC",4,"MDH_cytosol",6,215,211,2,745,1.86046511627907,0.0248922650310932,1
"OGDH","cytosol","BBR/BPC",0,"OGDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"PDH","cytosol","BBR/BPC",0,"PDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"SCL","cytosol","BBR/BPC",0,"SCL_cytosol",6,NA,NA,6,NA,NA,NA,NA
"SDH","cytosol","BBR/BPC",0,"SDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"ACO","mitochondrion","BBR/BPC",1,"ACO_mitochondrion",6,214,213,5,743,0.467289719626168,0.780004750746161,1
"CSY","mitochondrion","BBR/BPC",2,"CSY_mitochondrion",6,167,165,4,791,1.19760479041916,0.279830471006219,1
"FUM","mitochondrion","BBR/BPC",0,"FUM_mitochondrion",6,46,46,6,910,0,1,1
