"","tffam","enzloc","pval"
"454","Homeobox","MDH_cytosol",0.836830416084693
"455","PHD","MDH_cytosol",0.223492723492723
"456","C2C2-Dof","MDH_cytosol",0.997246563107099
"457","WRKY","MDH_cytosol",0.995874325980321
"458","CCAAT-DR1","MDH_cytosol",0.39721703613483
"459","ARF","MDH_cytosol",0.460611294317739
"460","RAV","MDH_cytosol",1
"461","NLP","MDH_cytosol",0.0368462687215203
"462","ARR-B","MDH_cytosol",0.129174849918309
"463","ZF-HD","MDH_cytosol",0.012582203783287
"464","Whirly","MDH_cytosol",1
"465","BBR/BPC","MDH_cytosol",0.0248922650310932
"466","MYB-related","MDH_cytosol",0.622217018586078
"467","GRAS","MDH_cytosol",0.952892328764554
"468","BZR","MDH_cytosol",1
"469","Alfin-like","MDH_cytosol",1
"470","HSF","MDH_cytosol",1
"471","CAMTA","MDH_cytosol",1
"472","VOZ","MDH_cytosol",1
"473","CCAAT-HAP3","MDH_cytosol",1
"474","CCAAT-HAP5","MDH_cytosol",1
"475","C2C2-CO-like","MDH_cytosol",1
"476","C2C2-YABBY","MDH_cytosol",1
"477","ABI3VP1","MDH_cytosol",1
"478","CCAAT-HAP2","MDH_cytosol",1
"479","TUB","MDH_cytosol",1
"480","ZIM","MDH_cytosol",1
"481","bHLH","MDH_mitochondrion",0.997808050231984
"482","MYB","MDH_mitochondrion",0.999717993643689
"483","E2F-DP","MDH_mitochondrion",0.285917951890897
"484","AP2-EREBP","MDH_mitochondrion",0.295750012880411
"485","Trihelix","MDH_mitochondrion",5.98686050317745e-06
"486","ARID","MDH_mitochondrion",0.00644773745267959
"487","C2H2","MDH_mitochondrion",0.194083676540837
"488","GeBP","MDH_mitochondrion",2.08572090729693e-05
"489","NAC","MDH_mitochondrion",0.55070503928099
"490","C2C2-Gata","MDH_mitochondrion",0.971973058263139
"491","bZIP","MDH_mitochondrion",0.0269685752379765
"492","EIL","MDH_mitochondrion",0.569723962423377
"493","LBD","MDH_mitochondrion",0.00118019161343407
"494","MADS","MDH_mitochondrion",1
"495","TCP","MDH_mitochondrion",0.150580846798852
"496","SBP","MDH_mitochondrion",0.741182346063542
"497","G2-like","MDH_mitochondrion",0.342735556422253
"498","C3H","MDH_mitochondrion",0.976410905573226
"499","CPP","MDH_mitochondrion",0.396749436441164
"500","GRF","MDH_mitochondrion",1
"501","REM","MDH_mitochondrion",0.693336402593899
"502","Homeobox","MDH_mitochondrion",0.708114138349332
"503","PHD","MDH_mitochondrion",0.154885654885655
"504","C2C2-Dof","MDH_mitochondrion",1
"505","WRKY","MDH_mitochondrion",0.987927207972868
"506","CCAAT-DR1","MDH_mitochondrion",1
"507","ARF","MDH_mitochondrion",0.235419490674492
"508","RAV","MDH_mitochondrion",0.191798702869079
"509","NLP","MDH_mitochondrion",1
"510","ARR-B","MDH_mitochondrion",1
"511","ZF-HD","MDH_mitochondrion",0.00141350668341072
"512","Whirly","MDH_mitochondrion",1
"513","BBR/BPC","MDH_mitochondrion",0.000441669223986645
"514","MYB-related","MDH_mitochondrion",0.65288836377346
"515","GRAS","MDH_mitochondrion",1
"516","BZR","MDH_mitochondrion",0.569723962423377
"517","Alfin-like","MDH_mitochondrion",1
"518","HSF","MDH_mitochondrion",1
"519","CAMTA","MDH_mitochondrion",1
"520","VOZ","MDH_mitochondrion",0.154885654885655
"521","CCAAT-HAP3","MDH_mitochondrion",0.490476583438314
"522","CCAAT-HAP5","MDH_mitochondrion",1
"523","C2C2-CO-like","MDH_mitochondrion",1
"524","C2C2-YABBY","MDH_mitochondrion",1
"525","ABI3VP1","MDH_mitochondrion",1
"526","CCAAT-HAP2","MDH_mitochondrion",1
"527","TUB","MDH_mitochondrion",1
"528","ZIM","MDH_mitochondrion",1
"529","bHLH","MDH_peroxisome",0.996959710383683
"530","MYB","MDH_peroxisome",0.886651263579441
"531","E2F-DP","MDH_peroxisome",1
"532","AP2-EREBP","MDH_peroxisome",0.0894436539621298
"533","Trihelix","MDH_peroxisome",0.00416597510030636
"534","ARID","MDH_peroxisome",0.0456897033740183
"535","C2H2","MDH_peroxisome",0.967783867209414
"536","GeBP","MDH_peroxisome",0.000126491230353007
"537","NAC","MDH_peroxisome",0.507035319432018
"538","C2C2-Gata","MDH_peroxisome",1
"539","bZIP","MDH_peroxisome",0.230641533283037
"540","EIL","MDH_peroxisome",0.553570155160881
"541","LBD","MDH_peroxisome",0.0049142599851426
"542","MADS","MDH_peroxisome",1
"543","TCP","MDH_peroxisome",1
"544","SBP","MDH_peroxisome",0.0202006181741908
"545","G2-like","MDH_peroxisome",0.90694454093459
"546","C3H","MDH_peroxisome",1
"547","CPP","MDH_peroxisome",0.0594420578226509
"548","GRF","MDH_peroxisome",0.107392712615849
"549","REM","MDH_peroxisome",0.6770774740873
"550","Homeobox","MDH_peroxisome",0.468151156778487
"551","PHD","MDH_peroxisome",0.148648648648648
"552","C2C2-Dof","MDH_peroxisome",1
"553","WRKY","MDH_peroxisome",2.54727602573191e-08
"554","CCAAT-DR1","MDH_peroxisome",0.275332564614563
"555","ARF","MDH_peroxisome",0.503612993223788
"556","RAV","MDH_peroxisome",0.801611909970212
"557","NLP","MDH_peroxisome",1
"558","ARR-B","MDH_peroxisome",1
"559","ZF-HD","MDH_peroxisome",0.00109377137517714
"560","Whirly","MDH_peroxisome",1
"561","BBR/BPC","MDH_peroxisome",0.620278063010405
